Time_days,PBAT_pct,PLA_pct,Recyclable Materials,Additive Type,Color,Thickness_um,Roughness,Area_mm2,UV,Precipitation_mm,Temperature_C,Air_Humidity_pct,Soil_TN_mgkg,Soil_OC_gkg,Soil_pH,Fertilizer,Target_TS_MPa
60.0,90.0,3.893975257873535,3.096583843231201,7.0,1.6328352689743042,627.5397338867188,2.4787487983703613,3876.93701171875,196027.78125,240.9041359,28.56876931,78.67070628,140.24681091308594,0.7,5.4,0.9982994198799133,43.4
15.0,0.0,100.0,0.08337429165840149,0.12339507043361664,1.5923795700073242,25.42298126220703,1.6806025505065918,4169.24609375,81516.671875,43.82791789,28.92691184,70.62148482,149.76441955566406,0.86,7.2,0.9995089769363403,56.1
30.0,10.0,90.0,9.994758605957031,-0.0010122228413820267,1.9384171962738037,32.4472541809082,2.439617395401001,8984.30859375,153151.640625,81.22879616,28.79574945,74.00330404,144.56918334960938,0.86,7.2,0.999901294708252,54.5
45.0,20.0,80.0,18.268924713134766,-0.0025470578111708164,2.0205745697021484,46.277191162109375,2.8428163528442383,9223.41796875,211951.484375,90.73585062,27.83222557,70.50593869,150.62464904785156,0.86,7.2,0.9999276995658875,48.8
60.0,0.0,100.0,0.09892237186431885,0.11644098162651062,1.7640007734298706,27.226688385009766,1.9263207912445068,5848.3818359375,264773.96875,98.25490345,27.15692283,66.61434087,159.16551208496094,0.86,7.2,0.9992679357528687,62.8
60.0,10.0,90.0,9.959492683410645,0.00030688807601109147,2.0053493976593018,44.76494598388672,2.810149669647217,8288.3603515625,265569.125,98.25490345,27.15692283,66.61434087,173.23638916015625,0.86,7.2,0.9994692206382751,76.4
60.0,20.0,80.0,19.710739135742188,0.0004352737159933895,1.9969940185546875,46.98350524902344,2.8501384258270264,9985.1865234375,266334.6875,98.25490345,27.15692283,66.61434087,166.32064819335938,0.86,7.2,0.9998398423194885,68.7
50.0,18.98750114440918,80.0,20.0,7.0,2.0037286281585693,1700.5848388671875,2.860802412033081,679.4352416992188,183290.1875,116.704469,13.7041878,60.0,364.268310546875,1.45,7.0,0.9987170100212097,36.353145599365234
50.0,18.98750114440918,80.0,20.0,7.0,2.0037286281585693,1700.5848388671875,2.860802412033081,679.4352416992188,183290.1875,116.704469,13.7041878,60.0,364.268310546875,1.45,7.0,0.9987170100212097,36.353145599365234
50.0,18.98750114440918,80.0,20.0,7.0,2.0037286281585693,1700.5848388671875,2.860802412033081,679.4352416992188,183290.1875,116.704469,13.7041878,60.0,364.268310546875,1.45,7.0,0.9987170100212097,36.353145599365234
100.0,18.759347915649414,80.0,20.0,7.0,2.007840156555176,2173.006591796875,2.8392081260681152,936.4378662109375,274448.625,175.0567034,20.5562817,60.0,358.6055908203125,1.45,7.0,0.9989060759544373,34.827362060546875
100.0,18.759347915649414,80.0,20.0,7.0,2.007840156555176,2173.006591796875,2.8392081260681152,936.4378662109375,274448.625,175.0567034,20.5562817,60.0,358.6055908203125,1.45,7.0,0.9989060759544373,34.827362060546875
100.0,18.759347915649414,80.0,20.0,7.0,2.007840156555176,2173.006591796875,2.8392081260681152,936.4378662109375,274448.625,175.0567034,20.5562817,60.0,358.6055908203125,1.45,7.0,0.9989060759544373,34.827362060546875
150.0,17.879180908203125,80.0,20.0,7.0,2.077456474304199,3983.93798828125,2.597809076309204,3981.84033203125,335034.0,291.7611724,34.26046951,60.0,347.75579833984375,1.45,7.0,0.9930497407913208,24.144983291625977
150.0,17.879180908203125,80.0,20.0,7.0,2.077456474304199,3983.93798828125,2.597809076309204,3981.84033203125,335034.0,291.7611724,34.26046951,60.0,347.75579833984375,1.45,7.0,0.9930497407913208,24.144983291625977
150.0,17.879180908203125,80.0,20.0,7.0,2.077456474304199,3983.93798828125,2.597809076309204,3981.84033203125,335034.0,291.7611724,34.26046951,60.0,347.75579833984375,1.45,7.0,0.9930497407913208,24.144983291625977
