Time_days,PBAT_pct,PLA_pct,Recyclable Materials,Additive Type,Color,Thickness_um,Roughness,Area_mm2,UV,Precipitation_mm,Temperature_C,Humidity,Soil_TN_mgkg,Soil_OC_gkg,Soil_pH,Fertilizer,Target_WVTR
NA,0,80,20,NA,NA,80,3,1000,NA,NA,23,90,NA,NA,NA,NA,113.1
NA,19,75,NA,1,NA,80,3,1000,NA,NA,23,90,NA,NA,NA,NA,57.3
NA,0,75,19,1,NA,80,3,1000,NA,NA,23,90,NA,NA,NA,NA,43.1
NA,100,0,NA,5,NA,NA,NA,1500,NA,NA,38,90,NA,NA,NA,NA,16.79
NA,80,0,NA,7,NA,NA,NA,3300,NA,NA,38,90,NA,NA,NA,NA,674.3
NA,80,0,NA,7,NA,NA,NA,3300,NA,NA,38,90,NA,NA,NA,NA,579.4666667
NA,100,0,NA,1,NA,40.2,NA,NA,NA,NA,23,90,NA,NA,NA,NA,112.53
NA,95,0,NA,1,NA,42,NA,NA,NA,NA,23,90,NA,NA,NA,NA,99.57
NA,90,0,NA,1,NA,41.5,NA,NA,NA,NA,23,90,NA,NA,NA,NA,84.78
NA,85,0,NA,1,NA,41.8,NA,NA,NA,NA,23,90,NA,NA,NA,NA,79.26
NA,100,0,0,NA,2,NA,1,3320,NA,NA,38,90,143,4.1,8.3,1,714.995
NA,90,0,10,NA,2,NA,1,3320,NA,NA,38,90,143,4.1,8.3,1,409.672
NA,85,0,15,NA,2,NA,1,3320,NA,NA,38,90,143,4.1,8.3,1,507.909
NA,80,0,20,NA,2,NA,2,3320,NA,NA,38,90,143,4.1,8.3,1,527.919
0,90,0,10,NA,2,NA,1,3320,0,0,25.614,90,143,4.1,8.3,1,377.396
15,90,0,10,NA,2,NA,1,3320,82226.21233,1.547492575,19.57,90,143,4.1,8.3,1,400.983
30,90,0,10,NA,2,NA,1,3320,160007.3408,2.121224068,26.646,90,143,4.1,8.3,1,432.432
45,90,0,10,NA,2,NA,1,3320,214081.914,11.30947843,30.725,90,143,4.1,8.3,1,479.607
60,90,0,10,NA,2,NA,1,3320,261610.7427,13.45226681,30.283,90,143,4.1,8.3,1,558.231
75,90,0,10,NA,2,NA,1,3320,343836.955,14.99975938,29.545,90,143,4.1,8.3,1,695.823
0,100,0,NA,NA,2,NA,1,3320,0,0,25.319,90,143,4.1,8.3,1,684.029
15,100,0,NA,NA,2,NA,1,3320,82226.21233,1.547492575,16.032,90,143,4.1,8.3,1,695.823
