Time_days,PBAT_pct,PLA_pct,Recyclable Materials,Additive Type,Color,Thickness_um,Roughness,Area_mm2,UV,Precipitation_mm,Temperature_C,Air_Humidity_pct,Soil_TN_mgkg,Soil_OC_gkg,Soil_pH,Fertilizer,Target_TS_MPa
2,NA,77,NA,3,3,100,3,100,NA,3.267672968,30,76.55226744,NA,1.95,8,NA,26.9
3,NA,77,NA,3,3,100,3,100,NA,4.901509453,30,76.17329582,NA,1.95,8,NA,26.9
4,NA,77,NA,3,3,100,3,100,NA,6.535345937,30,78.21974257,NA,1.95,8,NA,26.9
5,NA,77,NA,3,3,100,3,100,NA,8.169182421,30,79.58404041,NA,1.95,8,NA,26.9
6,NA,77,NA,3,3,100,3,100,NA,9.803018905,30,76.62806176,NA,1.95,8,NA,26.9
7,NA,77,NA,3,3,100,3,100,NA,11.43685539,30,76.61214495,NA,1.95,8,NA,26.9
NA,NA,100,NA,NA,2,100,2,100,NA,NA,30,NA,NA,1.95,8,NA,55
NA,NA,90,NA,1,3,100,3,100,NA,NA,30,NA,NA,1.95,8,NA,46
NA,NA,80,NA,0,3,100,3,100,NA,NA,30,NA,NA,1.95,8,NA,38
NA,NA,70,NA,0,3,100,3,100,NA,NA,30,NA,NA,1.95,8,NA,37
NA,NA,60,NA,0,3,100,3,100,NA,NA,30,NA,NA,1.95,8,NA,34
NA,NA,50,NA,0,3,100,3,100,NA,NA,30,NA,NA,1.95,8,NA,31
NA,NA,0,NA,0,3,100,3,100,NA,NA,30,NA,NA,1.95,8,NA,26
1,50,50,NA,NA,NA,1000,3,80,NA,1.633836484,25,50,NA,1.95,6.4,NA,20.9
2,50,50,NA,NA,NA,1000,3,80,NA,3.267672968,25,50,NA,1.95,6.4,NA,20.9
3,50,50,NA,NA,NA,1000,3,80,NA,4.901509453,25,50,NA,1.95,6.4,NA,20.9
4,50,50,NA,NA,NA,1000,3,80,NA,6.535345937,25,50,NA,1.95,6.4,NA,20.9
5,50,50,NA,NA,NA,1000,3,80,NA,8.169182421,25,50,NA,1.95,6.4,NA,20.9
1,50,50,NA,6,NA,1000,3,80,NA,1.633836484,25,50,NA,1.95,6.4,NA,26.4
2,50,50,NA,6,NA,1000,3,80,NA,3.267672968,25,50,NA,1.95,6.4,NA,26.4
3,50,50,NA,6,NA,1000,3,80,NA,4.901509453,25,50,NA,1.95,6.4,NA,26.4
4,50,50,NA,6,NA,1000,3,80,NA,6.535345937,25,50,NA,1.95,6.4,NA,26.4
5,50,50,NA,6,NA,1000,3,80,NA,8.169182421,25,50,NA,1.95,6.4,NA,26.4
1,50,50,NA,6,NA,1000,3,80,NA,1.633836484,25,50,NA,1.95,6.4,NA,29.7
2,50,50,NA,6,NA,1000,3,80,NA,3.267672968,25,50,NA,1.95,6.4,NA,29.7
3,50,50,NA,6,NA,1000,3,80,NA,4.901509453,25,50,NA,1.95,6.4,NA,29.7
4,50,50,NA,6,NA,1000,3,80,NA,6.535345937,25,50,NA,1.95,6.4,NA,29.7
5,50,50,NA,6,NA,1000,3,80,NA,8.169182421,25,50,NA,1.95,6.4,NA,29.7
1,50,50,NA,6,NA,1000,3,80,NA,1.633836484,25,50,NA,1.95,6.4,NA,31.3
2,50,50,NA,6,NA,1000,3,80,NA,3.267672968,25,50,NA,1.95,6.4,NA,31.3
3,50,50,NA,6,NA,1000,3,80,NA,4.901509453,25,50,NA,1.95,6.4,NA,31.3
4,50,50,NA,6,NA,1000,3,80,NA,6.535345937,25,50,NA,1.95,6.4,NA,31.3
5,50,50,NA,6,NA,1000,3,80,NA,8.169182421,25,50,NA,1.95,6.4,NA,31.3
1,50,50,NA,6,NA,1000,3,80,NA,1.633836484,25,50,NA,1.95,6.4,NA,28.3
2,50,50,NA,6,NA,1000,3,80,NA,3.267672968,25,50,NA,1.95,6.4,NA,28.3
3,50,50,NA,6,NA,1000,3,80,NA,4.901509453,25,50,NA,1.95,6.4,NA,28.3
4,50,50,NA,6,NA,1000,3,80,NA,6.535345937,25,50,NA,1.95,6.4,NA,28.3
5,50,50,NA,6,NA,1000,3,80,NA,8.169182421,25,50,NA,1.95,6.4,NA,28.3
NA,0,100,NA,6,NA,30,2,80,NA,NA,23,50,NA,1.95,6.4,NA,68
NA,20,80,NA,6,NA,30,3,80,NA,NA,23,50,NA,1.95,6.4,NA,63
NA,40,60,NA,6,NA,30,3,80,NA,NA,23,50,NA,1.95,6.4,NA,32.1
NA,60,40,NA,6,NA,30,3,80,NA,NA,23,50,NA,1.95,6.4,NA,35.4
NA,80,20,NA,6,NA,30,3,80,NA,NA,23,50,NA,1.95,6.4,NA,31.1
NA,100,0,NA,6,NA,30,3,80,NA,NA,23,50,NA,1.95,6.4,NA,37.1
NA,0,100,NA,NA,NA,30,2,80,NA,NA,23,50,NA,1.95,6.4,NA,43.1
NA,20,80,NA,NA,NA,30,3,80,NA,NA,23,50,NA,1.95,6.4,NA,50.3
NA,40,60,NA,NA,NA,30,3,80,NA,NA,23,50,NA,1.95,6.4,NA,43.1
NA,60,40,NA,NA,NA,30,3,80,NA,NA,23,50,NA,1.95,6.4,NA,38.9
NA,80,20,NA,NA,NA,30,3,80,NA,NA,23,50,NA,1.95,6.4,NA,39
NA,100,0,NA,NA,NA,30,3,80,NA,NA,23,50,NA,1.95,6.4,NA,49.9
7,60,40,NA,6,NA,30,3,80,NA,8.169182421,25,50,NA,1.95,6.4,NA,31.2
14,60,40,NA,6,NA,30,3,80,NA,24.50754726,25,50,NA,1.95,6.4,NA,31.2
21,60,40,NA,6,NA,30,3,80,NA,24.99769821,25,50,NA,1.95,6.4,NA,31.2
28,60,40,NA,6,NA,30,3,80,NA,61.50971679,25,50,NA,1.95,6.4,NA,31.2
7,50,40,10,6,NA,30,3,80,NA,8.169182421,25,50,NA,1.95,6.4,NA,26.1
14,50,40,10,6,NA,30,3,80,NA,24.50754726,25,50,NA,1.95,6.4,NA,26.1
21,50,40,10,6,NA,30,3,80,NA,24.99769821,25,50,NA,1.95,6.4,NA,26.1
28,50,40,10,6,NA,30,3,80,NA,61.50971679,25,50,NA,1.95,6.4,NA,26.1
7,40,40,20,6,NA,30,3,80,NA,8.169182421,25,50,NA,1.95,6.4,NA,16.6
14,40,40,20,6,NA,30,3,80,NA,24.50754726,25,50,NA,1.95,6.4,NA,16.6
21,40,40,20,6,NA,30,3,80,NA,24.99769821,25,50,NA,1.95,6.4,NA,16.6
28,40,40,20,6,NA,30,3,80,NA,61.50971679,25,50,NA,1.95,6.4,NA,16.6
7,30,40,30,6,NA,30,3,80,NA,8.169182421,25,50,NA,1.95,6.4,NA,16.8
14,30,40,30,6,NA,30,3,80,NA,24.50754726,25,50,NA,1.95,6.4,NA,16.8
21,30,40,30,6,NA,30,3,80,NA,24.99769821,25,50,NA,1.95,6.4,NA,16.8
28,30,40,30,6,NA,30,3,80,NA,61.50971679,25,50,NA,1.95,6.4,NA,16.8
7,20,40,40,6,NA,30,3,80,NA,8.169182421,25,50,NA,1.95,6.4,NA,25.9
14,20,40,40,6,NA,30,3,80,NA,24.50754726,25,50,NA,1.95,6.4,NA,25.9
21,20,40,40,6,NA,30,3,80,NA,24.99769821,25,50,NA,1.95,6.4,NA,25.9
28,20,40,40,6,NA,30,3,80,NA,61.50971679,25,50,NA,1.95,6.4,NA,25.9
15,NA,16.3,NA,3,NA,250,NA,250,85274.72698,0.13079308,25,65.03953176,NA,0.6,8,NA,1.95
30,NA,16.3,NA,3,NA,250,NA,250,164219.1626,1.506199129,25,57.81238229,NA,0.6,8,NA,2.15
45,NA,16.3,NA,2,NA,250,NA,250,219356.1095,33.92745834,25,58.9667207,NA,0.6,8,NA,2.19
60,NA,16.3,NA,2,NA,250,NA,250,267234.1419,35.11378309,25,57.14217884,NA,0.6,8,NA,1.64
60,NA,16.3,NA,2,NA,250,NA,250,267234.1419,35.11378309,25,57.14217884,NA,0.6,8,NA,1.42
60,NA,16.3,NA,2,NA,250,NA,250,267234.1419,35.11378309,25,57.14217884,NA,0.6,8,NA,1.39
60,NA,16.3,NA,2,NA,250,NA,250,267234.1419,35.11378309,25,57.14217884,NA,0.6,8,NA,1.02
NA,NA,100,NA,NA,NA,1000,NA,400,NA,NA,NA,NA,NA,0.6,8,NA,72.4
15,30,70,NA,NA,NA,1000,NA,400,NA,5.387619138,24.19443843,67.72348124,NA,0.6,8,NA,49.7
30,30,70,NA,0,NA,1000,NA,400,NA,19.90549942,23.33606063,60.41273684,NA,0.6,8,NA,47.7
45,30,70,NA,0,NA,1000,NA,400,NA,84.31707276,20.44529278,63.86950865,NA,0.6,8,NA,47.8
60,30,70,NA,0,NA,1000,NA,400,NA,85.54523857,19.24211356,62.32219827,NA,0.6,8,NA,46.8
