name,longitude,latitude,Soil_pH,soil_clay_pct,soil_silt_pct,soil_sand_pct,Soil_OC_gkg,Soil_TN_mgkg,soil_bulk_density,soil_coarse_frag_pct
八公山区,116.81812289646668,32.65393122190484,6.7,31.0,43.8,25.3,23.0,197.0,132.0,107.0
亚东县,89.07103652750583,27.810686215087777,6.8,17.2,30.7,52.2,53.9,381.0,104.0,219.0
潘集区,116.8470695906832,32.78199546524252,7.1,28.0,46.5,25.6,28.0,220.0,128.0,57.0
宜兰县,121.74460347236617,24.628235435684605,5.0,31.9,41.0,27.1,100.5,417.0,105.0,107.0
新竹县,121.16376340470104,24.68083457165482,4.8,30.2,41.3,28.5,111.1,462.0,105.0,108.0
彰化县,120.48381802404973,23.957993986958734,6.0,29.1,47.1,23.8,18.2,215.0,135.0,30.0
云林县,120.3820226653028,23.68618042628241,6.3,26.2,51.8,22.0,20.7,267.0,139.0,24.0
上虞区,120.87994885204982,29.986708827077347,6.2,32.2,47.2,20.6,44.3,344.0,116.0,124.0
越城区,120.6463670056841,30.01271709681313,6.4,27.0,50.0,23.0,33.9,359.0,110.0,88.0
柯桥区,120.5464886312558,29.9715620777243,6.5,27.3,47.6,25.1,36.9,350.0,109.0,89.0
浑南区,123.62060030622808,41.7599462127441,6.3,26.2,34.2,39.7,33.1,257.0,130.0,72.0
武陵源区,110.49527120074492,29.34988404722386,5.6,29.4,46.0,24.6,48.6,518.0,112.0,184.0
苏家屯区,123.41335413699797,41.58050721729769,6.3,24.7,37.4,37.9,34.8,278.0,129.0,68.0
通川区,107.43074219800612,31.362491542902816,6.1,31.6,42.0,26.4,40.3,320.0,125.0,162.0
达川区,107.41577589854148,31.11007489944389,6.5,18.3,40.0,41.8,36.4,333.0,128.0,133.0
辽中区,122.76803808691602,41.55614497989061,7.1,29.0,30.6,40.4,27.1,243.0,134.0,82.0
于洪区,123.25159479624318,41.8950053017956,7.1,32.6,37.4,30.0,27.9,277.0,131.0,83.0
高明区,112.67165675280006,22.82044974977349,5.2,26.1,33.1,40.8,32.0,301.0,111.0,97.0
沈北新区,123.49291237132788,42.03347476656379,6.7,28.8,56.1,15.2,29.9,269.0,131.0,75.0
贵池区,117.50184356023088,30.51229870837317,5.7,33.5,39.0,27.5,45.2,361.0,115.0,154.0
淮安区,119.28860855474665,33.49926915664916,7.9,30.2,49.4,20.5,22.0,230.0,127.0,67.0
淮阴区,118.9226593576927,33.65884695304624,7.9,29.8,46.7,23.5,17.6,214.0,129.0,64.0
澎湖县,119.58357346790844,23.54760792189797,6.6,27.2,32.3,40.6,23.2,182.0,125.0,60.0
台南市,120.32530842520715,23.15075290095704,6.7,26.2,55.8,18.0,20.9,186.0,145.0,38.0
台东县,121.0399470060217,22.863878667222465,5.3,30.3,37.0,32.8,72.4,508.0,110.0,123.0
新北市,121.59492159652132,24.98645398587546,5.0,29.8,44.3,25.9,59.4,341.0,114.0,77.0
屏东县,120.6773206251442,22.48490471615892,5.1,29.4,38.6,32.0,80.7,588.0,108.0,124.0
正镶白旗,115.01349631685264,42.53980454141186,8.0,18.1,30.9,51.1,12.5,231.0,140.0,130.0
三水区,112.89325667528875,23.290934683234912,6.0,26.6,42.0,31.4,28.5,279.0,112.0,78.0
顺德区,113.17836338546748,22.84402401241441,5.9,29.7,41.3,29.1,47.9,496.0,105.0,72.0
南海区,113.03004825503032,23.071932611387048,6.1,28.3,37.8,34.0,28.9,351.0,107.0,69.0
禅城区,113.05808748017344,23.00030879826335,6.0,27.1,37.2,35.8,43.4,352.0,106.0,79.0
五常市,127.47682859107366,44.76180485295984,6.2,25.5,50.5,24.0,71.1,674.0,111.0,127.0
多伦县,116.47859562561004,42.17934612245063,8.1,23.6,27.3,49.1,12.5,279.0,135.0,203.0
尚志市,128.31045517676563,45.07438496072709,6.2,26.0,46.1,27.9,94.6,695.0,102.0,143.0
正蓝旗,115.93037557742304,42.66152937467258,8.2,21.0,28.7,50.3,16.9,273.0,137.0,237.0
永定区,110.45613973675556,29.122609239010167,6.1,30.7,43.5,25.9,37.2,443.0,120.0,123.0
岚山区,119.18668901097227,35.28989389493415,6.8,20.4,35.2,44.4,15.6,145.0,133.0,88.0
皇姑区,123.41933044643326,41.85791944227547,6.8,25.8,39.2,35.0,30.4,244.0,131.0,76.0
东港区,119.35877988964562,35.45533239724662,6.8,22.2,35.1,42.8,13.5,127.0,134.0,83.0
林口县,130.0243414517848,45.429549274562994,6.2,25.2,42.0,32.9,107.2,813.0,103.0,142.0
大东区,123.50564687576154,41.85895574089527,6.5,24.8,39.7,35.6,27.4,229.0,130.0,74.0
沈河区,123.49360081845803,41.79324687313069,6.8,23.0,42.3,34.7,34.7,276.0,130.0,73.0
和平区,123.38266257928704,41.742473555587296,6.9,27.3,38.4,34.3,25.7,238.0,132.0,68.0
桃园市,121.2590529029089,24.901952618851936,5.2,33.2,43.4,23.4,42.5,328.0,128.0,64.0
台中市,120.89421902625658,24.238157582079456,5.1,33.6,40.2,26.3,70.0,449.0,110.0,101.0
铁西区,123.187277305929,41.719040205004056,7.1,29.3,35.9,34.8,28.4,277.0,131.0,76.0
临清市,115.76882868961748,36.77585729573175,7.9,17.3,54.8,27.9,7.8,144.0,134.0,14.0
双辽市,123.69243778847554,43.75631778762735,7.8,18.1,36.3,45.7,14.5,319.0,133.0,104.0
新竹市,120.94868331472637,24.78576554243165,5.4,34.8,35.9,29.3,44.4,279.0,128.0,77.0
花莲县,121.37867919896628,23.75332414849736,5.0,32.3,37.4,30.3,93.1,469.0,105.0,115.0
永新县,114.17932888247203,26.972262990154977,5.9,31.1,40.1,28.8,27.5,211.0,122.0,146.0
高雄市,120.6217701266288,23.00106526767856,5.1,30.9,43.9,25.2,68.1,404.0,111.0,147.0
崖州区,109.14411394828528,18.390397463883364,6.3,24.4,25.5,50.2,31.5,235.0,126.0,96.0
邳州市,117.88846887475144,34.395456796350146,8.0,29.6,50.3,20.1,10.3,123.0,133.0,71.0
天涯区,109.37491754834682,18.435145760329902,5.4,24.0,29.9,46.2,70.5,329.0,115.0,148.0
吉阳区,109.5852565096994,18.29432200466376,5.6,23.7,28.9,47.4,63.4,318.0,122.0,122.0
阳原县,114.38093065769924,40.13153422486416,8.2,19.5,34.9,45.6,9.3,144.0,128.0,149.0
海棠区,109.72056470522716,18.382666703689555,6.2,20.9,26.1,53.1,32.6,236.0,125.0,83.0
新沂市,118.33467397609058,34.282772440223006,7.6,24.7,33.9,41.4,10.5,128.0,134.0,77.0
怀安县,114.48957571126468,40.5514142551369,8.1,20.5,37.2,42.3,15.8,198.0,125.0,161.0
南部县,105.89809372564032,31.3484279871304,7.1,29.4,42.1,28.5,29.6,443.0,128.0,152.0
芒市,98.42086888215708,24.32591705843931,5.7,34.9,28.4,36.7,41.9,381.0,111.0,170.0
瑞丽市,97.80635290202534,24.034522652133678,5.7,30.1,39.2,30.7,32.2,254.0,119.0,162.0
仪陇县,106.51008228891764,31.432045010338378,6.5,29.2,44.0,26.8,37.6,368.0,126.0,171.0
赤城县,115.87905780425416,40.94872032824436,7.9,20.3,40.9,38.8,23.7,240.0,119.0,193.0
桂平市,110.0760301455656,23.329580443567195,5.9,26.8,43.0,30.3,23.8,190.0,120.0,97.0
西充县,105.84652100576216,31.059574458856154,7.0,28.0,44.1,28.0,32.1,414.0,127.0,158.0
营山县,106.7082105620436,31.15821483544909,6.5,31.9,43.3,24.8,35.8,348.0,128.0,128.0
怀来县,115.62182763975156,40.34094836538592,7.7,18.5,37.6,43.9,15.1,178.0,131.0,157.0
蓬安县,106.41906667985768,31.001491499932055,6.9,31.5,44.6,24.0,27.2,332.0,130.0,133.0
涿鹿县,115.211969485782,40.09475030020006,7.0,20.1,38.2,41.7,45.1,450.0,113.0,180.0
苗栗县,120.92309039594586,24.48292252450579,5.2,33.4,37.1,29.5,56.3,398.0,112.0,130.0
镶黄旗,114.10495174767044,42.35345924262332,8.2,17.8,35.0,47.2,14.8,185.0,141.0,187.0
龙圩区,111.27346262207791,23.2281073082762,5.4,27.3,31.6,41.2,29.7,313.0,112.0,103.0
建德市,119.36669147017577,29.4840138437705,5.6,27.3,44.8,28.0,42.8,348.0,112.0,147.0
嘉义县,120.5200914086373,23.44885295539657,5.7,30.3,43.3,26.5,44.6,263.0,123.0,99.0
太仆寺旗,115.28547322047224,41.89459522171642,8.0,18.0,25.3,56.7,21.7,329.0,129.0,175.0
长洲区,111.1615084281306,23.557166647489456,5.6,29.6,33.5,36.9,34.3,278.0,117.0,131.0
嘉义市,120.4478664435685,23.48047528689169,6.5,30.0,46.8,23.3,17.8,179.0,140.0,42.0
西乌珠穆沁旗,117.79476312583289,44.719058046578425,7.9,19.6,25.8,54.6,40.4,373.0,132.0,155.0
安福县,114.44342678050742,27.358106107910373,5.3,28.5,40.5,31.1,44.0,292.0,116.0,136.0
新化县,111.23191248951392,27.870757667430603,6.3,31.1,48.9,20.0,39.7,463.0,122.0,151.0
基隆市,121.72002262703596,25.12001774216687,5.1,31.1,43.8,25.1,93.5,404.0,117.0,76.0
东乌珠穆沁旗,117.76019722006502,45.80671046395712,7.8,16.1,33.3,50.6,24.2,362.0,133.0,148.0
双峰县,112.1812066130397,27.45164894206421,5.4,31.5,38.9,29.6,38.8,256.0,126.0,211.0
苏尼特右旗,112.90672975539886,42.87732366415632,8.1,18.7,35.5,45.9,8.6,168.0,142.0,132.0
遂川县,114.35462065282216,26.34198157635552,5.4,27.7,39.6,32.7,36.6,249.0,114.0,127.0
苏尼特左旗,113.14372804134796,44.02218507928053,8.0,22.9,35.1,41.9,9.8,230.0,140.0,158.0
万安县,114.81317233169328,26.44262457857629,5.7,27.3,43.3,29.5,45.5,261.0,116.0,132.0
台北市,121.55327123101642,25.08241504644896,5.0,29.2,43.8,27.1,63.2,358.0,116.0,77.0
阿巴嘎旗,114.89269039656789,44.2558701042347,7.9,15.9,33.3,50.8,17.8,307.0,139.0,132.0
永丰县,115.58203813207082,27.093744861363973,5.2,29.8,40.5,29.7,45.0,268.0,114.0,138.0
南投县,120.98227580375764,23.84299001926553,4.9,30.6,37.2,32.3,79.3,516.0,106.0,110.0
万秀区,111.31201657843472,23.570919405282886,5.6,29.0,38.8,32.3,30.4,254.0,117.0,150.0
泰和县,114.9291388642657,26.740875076853072,5.8,25.8,34.4,39.8,16.8,142.0,127.0,124.0
普陀区,121.38711212430964,31.26039860899781,7.3,27.3,61.7,11.0,,400.0,,57.0
虹口区,121.48137809210296,31.278414188946734,,,,,,,,
三门县,121.478246440702,29.018680844735343,5.8,34.0,46.9,19.1,43.7,410.0,108.0,138.0
